Open,High
183.75,183.75
177.3,180.4
186.6,186.9
182,191.95
175.25,177.65
175.05,177.4
185.95,186
178.5,185.8
186.4,186.9
188,190.45
183.6,189.9
190.5,190.9
201.7,202.8
205,205
204.9,213.7
212.9,212.9
215.55,218.6
222,222.1
224.25,225.85
233,233.05
235.2,235.75
235.9,239.1
232,239.3
234.55,234.55
216,232.5
219,219.25
216.6,219.25
206.4,216.85
200.4,207.55
206.5,207.1
208,209.5
202.35,206.7
205.3,208.8
188.75,204
176,189.65
169.7,171.45
174,175
171.7,173.6
174.4,174.4
180.25,182
183.4,183.55
182,184.5
180.55,184.65
180,181.8
181,182.3
184.75,184.75
184,186
181.65,184.45
188.3,188.3
191.9,193.4
195.25,198.3
183.95,198
179.2,184
179.15,181.5
183.35,186.05
173.55,183.35
175.45,177.55
170,175.25
166,170.6
165,166.5
164.8,165.8
162.3,163.45
160,161.65
155.8,160.95
153.6,154.2
150.5,153.1
164.65,164.65
179.45,184.95
177,179.3
180,181
181,183.6
182,185.9
175.3,183.5
174.5,176.7
171.6,174.8
174.3,175.25
176.3,178.85
179.7,180.25
182,182.7
181.4,182.65
183.3,184.85
185.5,185.6
186.3,187.35
185.5,187.3
183.2,185.8
180.55,187.4
186.3,187.55
183.65,186.8
181.9,183.9
176.3,180.5
173,178.3
168.1,171.9
169.3,170.1
171,171.7
173.7,174.3
172.6,173.9
169.9,172.15
173,173.3
172,172.15
176.5,178